Engine RPM(rpm),Intake Air Temperature(°C),Engine Load(%),Throttle Position(Manifold)(%),,,,,,,,
2191.25,31,54.11764908,25.88235283,,,,,,,,
2160.75,31,84.31372833,28.23529434,,,,,,,,
2497.5,31,90.98039246,32.15686417,,,,,,,,
2717,31,95.6862793,38.82352829,,,,,,,,
2564.75,31,92.94117737,32.54901886,,,,,,,,
2481.25,31,36.86274719,28.23529434,,,,,,,,
2693.75,31,91.76470947,32.94117737,,,,,,,,
2718.75,31,85.49019623,31.37254906,,,,,,,,
2425,31,90.98039246,32.15686417,,,,,,,,
2471.75,31,87.45098114,27.05882454,,,,,,,,
2682,31,85.49019623,29.41176605,,,,,,,,
2506.25,31,53.72549057,14.90196133,,,,,,,,
2457,31,27.05882454,16.47058868,,,,,,,,
2609.25,31,74.50980377,18.8235302,,,,,,,,
2320.25,31,23.92156982,17.25490189,,,,,,,,
2346,31,25.09803963,21.17647171,,,,,,,,
2607,31,43.52941132,21.96078491,,,,,,,,
2521,31,48.23529434,18.4313736,,,,,,,,
2307,31,19.6078434,16.47058868,,,,,,,,
2131.25,31,18.4313736,15.68627453,,,,,,,,
2285,31,20,18.4313736,,,,,,,,
2476.5,31,80.78431702,28.62745094,,,,,,,,
2437.5,31,62.74509811,15.68627453,,,,,,,,
2651.5,31,86.27451324,30.58823586,,,,,,,,
2365.5,31,52.94117737,15.29411793,,,,,,,,
2623.25,31,90.58823395,25.88235283,,,,,,,,
2439,31,35.68627548,19.2156868,,,,,,,,
2308.5,31,34.90196228,23.92156982,,,,,,,,
2414,31,74.11764526,18.8235302,,,,,,,,
2171,31,17.64705849,15.68627453,,,,,,,,
2620.25,31,73.33333588,25.49019623,,,,,,,,
2632.75,31,61.56863022,24.70588303,,,,,,,,
2635,31,84.70588684,26.66666794,,,,,,,,
2267.75,31,18.03921509,16.47058868,,,,,,,,
2655.25,31,62.35294342,27.45098114,,,,,,,,
2496,31,21.56862831,23.92156982,,,,,,,,
2429.5,31,32.15686417,21.96078491,,,,,,,,
2653.75,31,52.94117737,25.88235283,,,,,,,,
2470.25,31,89.41176605,20.7843132,,,,,,,,
